location,dimension,data,source_url,source_title,excerpt,validation_status,match_method,match_score,matched_snippet,http_status,claim_support,claim_support_reason,relevance_score
"Plant in Monterrey, Mexico",water_stress,"The reservoir system that supplies Monterrey fell below 40% capacity in 2022, forcing daily water cuts for both residential and industrial users in Nuevo León.",https://mexicobusiness.news/infrastructure/news/water-availability-necessary-support-industrial-activity,Water Availability Necessary to Support Industrial Activity,"Industrial operations increasingly face restrictions, particularly in northern states like Nuevo Leon, where the reservoir system supplying Monterrey fell below 40% capacity in 2022, leading to daily water cuts in both residential and industrial areas.",match,exact,100,,200,YES,Excerpt directly supports the reservoir dropping below 40% in 2022 and causing daily residential/industrial water cuts in Nuevo León.,
"Plant in Monterrey, Mexico",water_stress,"In the 2022 crisis, the Cerro Prieto dam that long supplied the Monterrey metro area dropped below 1% of capacity due to drought, demand, and aging infrastructure.",https://mexiconewsdaily.com/water-in-mexico/mexican-students-turn-water-crisis-into-global-innovation-compete-for-prestigious-sustainability-prize/,Water Crisis in Monterrey: A Student's Journey - Mexico News Daily,"A perfect storm of drought, demand and aging infrastructure caused dams to dry up — Cerro Prieto, which long supplied the Monterrey metro area with water, dropped below 1% capacity by July.",match,exact,100,,200,YES,"Excerpt directly supports Cerro Prieto dropping below 1% capacity due to drought, demand, and aging infrastructure.",
"Plant in Monterrey, Mexico",incidents,"During the 2022 drought, residents angry over water concessions to businesses, including beverage firms, joined repeated protests at bottling plants near Monterrey.",https://www.preventionweb.net/news/taps-run-dry-mexican-drought-fuels-anger-over-water-inequality,"As taps run dry, Mexican drought fuels anger over water inequality","Noyola said it felt bitterly ironic to have to buy water from a leading drinks firm that extracts water from a well close to his home, and he has joined a number of protests at bottling plants since rationing began earlier this year.",match,exact,100,,200,YES,Excerpt supports anger over water being extracted by a drinks firm and joining protests at bottling plants.,
"Plant in Monterrey, Mexico",incidents,"The 2022 Monterrey water crisis led to major public unrest, including highway blockades and residents in other parts of the state setting fire to pipes diverting emergency water to the city.",https://mexicodailypost.com/2022/07/23/monterrey-water-crisis-the-city-is-on-an-unsustainable-path/,Monterrey water crisis: the city is on an unsustainable path - Monterrey Daily Post,"The crisis has sparked widespread upheaval, with frustrated residents blocking major highways in protest and people in other parts of the state setting fire to pipes that were supposed to divert emergency flows to the city.",match,exact,100,,200,YES,Excerpt supports highway blockades and residents setting fire to pipes diverting emergency water.,
"Plant in Monterrey, Mexico",incidents,"The 2022 climate-fueled water crisis in Monterrey, Mexico's industrial capital, left residents without reliable tap water and led some to illegally tap into the water network.",https://www.bloomberg.com/news/features/2022-07-26/taps-run-dry-heat-and-drought-ravage-monterrey-mexico,Mexico Drought: Heat and Water Crisis Ravage Monterrey - Bloomberg,A climate-fueled water crisis in the country's industrial capital leaves residents thirsty and people illegally tapping pipes.,blocked,none,0,,,,,
"Plant in Monterrey, Mexico",incidents,"Monterrey experienced its worst modern-day water crisis in 2022, during which millions lost access to tap water and protests erupted.",https://mexiconewsdaily.com/water-in-mexico/mexican-students-turn-water-crisis-into-global-innovation-compete-for-prestigious-sustainability-prize/,Water Crisis in Monterrey: A Student's Journey - Mexico News Daily,"In 2022, Monterrey experienced its worst modern-day water crisis.",match,fuzzy,98,"in 2022, monterrey experienced its worst modern-day water crisis .",200,PARTIAL,Excerpt confirms it was the worst modern-day water crisis but does not mention millions losing tap water access or protests erupting.,
"Plant in Monterrey, Mexico",regulations,"Mexico's Senate approved a new General Water Law and amendments to the National Water Law in December 2025, significantly overhauling the regulatory framework governing water resources, including industrial concessions.",https://www.lexology.com/library/detail.aspx?g=737edf8d-f891-4376-ad20-b50f425d1e98,Mexico Approves New General Water Law and Amends National Water Law - Lexology,"The Mexican Senate on Dec. 5, 2025, approved the General Water Law (Ley General de Aguas) and amendments to the National Water Law (Ley de Aguas Nacionales), marking a significant shift in the regulatory framework governing water resources in Mexico.",blocked,none,0,,403,,,
"Plant in Monterrey, Mexico",regulations,"Under the reformed law, CONAGUA has the authority to reduce or cancel industrial water concessions without limitation of amount during periods of scarcity, emergency, or hydrological imbalance.",https://aln.com.mx/en/new-general-water-law-and-reform-to-the-national-water-law/,Nueva Ley General de Aguas y Reforma a la Ley de Aguas Nacionales,"In situations of scarcity, emergency or hydrological imbalance, CONAGUA is empowered to reduce or cancel water concessions granted to industries without limitation of amount.",match,exact,100,,200,YES,"Excerpt directly supports CONAGUA's authority to reduce or cancel concessions without limitation during scarcity, emergency, or imbalance.",
"Plant in Monterrey, Mexico",regulations,CONAGUA assesses water availability before granting industrial concessions and will not grant a concession if the site is located in an overexploited aquifer.,https://mexiconewsdaily.com/water-in-mexico/mexicos-national-water-law-and-industry/,The facts on industrial water usage in Mexico - Mexico News Daily,"María Teresa Gutiérrez, director of Agua.org.mx, explained that Conagua assesses water availability before granting permits. ""If the site is located in an overexploited aquifer, the concession is not granted,"" she said.",match,exact,100,,200,YES,Excerpt confirms CONAGUA assesses water availability and denies concessions in overexploited aquifers.,
"Factory in Chandler, Arizona, USA",water_stress,"Simone Kjolsrud, Chandler's water resources advisor, said that many cities in Central Arizona will face a cut to their water supply starting in 2027.",https://www.chandlernews.com/santan/news/chandler-begins-girding-for-cuts-in-water-supply/article_dfa60e65-258f-4d48-bb04-3bbb7b6aee7c.html,Chandler begins girding for cuts in water supply | News | chandlernews.com,"a lot of cities in Central Arizona will be taking a cut starting in 2027,” said Simone Kjolsrud",match,exact,100,,200,PARTIAL,Excerpt supports the quote but does not identify Kjolsrud as Chandler's water resources advisor.,
"Factory in Chandler, Arizona, USA",water_stress,"Water supply in the Phoenix metropolitan region, which encompasses the Chandler area, depends on mountain snowmelt rather than direct rainfall, making it climate-sensitive.",https://www.phoenix.gov/administration/departments/waterservices/supply-conservation/drought/drought-shortage-operations.html,Phoenix Water Services Drought Management | City of Phoenix,"Our water supply doesn’t rely on rainfall, rather snow melt, from the mountains north and east of the Valley.",match,exact,100,,200,PARTIAL,Excerpt mentions 'the Valley' but does not explicitly identify it as the Phoenix metropolitan region encompassing Chandler.,
"Factory in Chandler, Arizona, USA",incidents,Chandler residents have been paying more than $1.5 million per year to an East Valley water district amid a dispute over water services in the city.,https://ktar.com/arizona-water-news/chandler-water-issues-2025/5658271/,Chandler water issues 2025: Mayor concerned about RWCD,Chandler residents have been paying an East Valley water district over $1.5 million a year,match,exact,100,,200,YES,Excerpt directly matches the claim about Chandler residents paying over $1.5 million a year to an East Valley water district.,
"Factory in Chandler, Arizona, USA",incidents,"A proposed AI data center project in Chandler, Arizona has been described as controversial due to concerns over its water usage.",https://www.phoenixnewtimes.com/news/how-much-water-will-chandlers-data-center-project-use-40627750/,How much water will Chandler's data center project use?,Those pushing for a controversial new AI data center in Chandler,match,exact,100,,200,YES,"Excerpt confirms the AI data center in Chandler is described as controversial, matching the claim.",
"Factory in Chandler, Arizona, USA",regulations,"Arizona was the first U.S. state to enact a law requiring a 100-year water supply plan, via the 1980 Groundwater Management Act.",https://www.gpec.org/water/,Arizona Water | GPEC - Greater Phoenix Economic Council,Arizona was the first state to plan for a 100-year water future by passing the 1980 Groundwater Management Act,match,exact,100,,200,YES,"Excerpt confirms Arizona was first state to plan for 100-year water future via 1980 Groundwater Management Act, matching the claim.",
"Factory in Chandler, Arizona, USA",regulations,Arizona's groundwater management regulations include a requirement to meter or measure water pumped from all large wells.,https://www.azwater.gov/sites/default/files/media/Arizona%20Groundwater_Code_1.pdf,Overview of the Arizona Groundwater Code,A requirement to meter/measure water pumped from all large wells.,blocked,none,0,,403,,,
